Source,Target,Type,Kind,Id,Label,timeset,Weight
@xolani18007214,@shafiul06489544,Directed,Mention,7439,,<[2022-03-02T10:13:53.887Z]>,1
@xolani18007214,@shafiul06489544,Directed,Retweet,7440,,<[2022-03-02T10:13:53.887Z]>,1
@saeid1998d,@itzshah47,Directed,Mention,7441,,<[2022-03-02T10:13:54.498Z]>,1
@saeid1998d,@itzshah47,Directed,Retweet,7442,,<[2022-03-02T10:13:54.498Z]>,1
@prideofsanatan,@_omarnasr,Directed,Mention,7443,,<[2022-03-02T10:13:54.525Z]>,1
@prideofsanatan,@_omarnasr,Directed,Retweet,7444,,<[2022-03-02T10:13:54.525Z]>,1
@oyibochijioke,@waqaran25131252,Directed,Mention,7445,,<[2022-03-02T10:13:55.183Z]>,1
@oyibochijioke,@waqaran25131252,Directed,Retweet,7446,,<[2022-03-02T10:13:55.184Z]>,1
@ferozpasha06,@slimdestro,Directed,Mention,7447,,<[2022-03-02T10:13:55.777Z]>,1
@ferozpasha06,@slimdestro,Directed,Retweet,7448,,<[2022-03-02T10:13:55.777Z]>,1
@d_mantix,@wise_foolx,Directed,Mention,7449,,<[2022-03-02T10:13:55.824Z]>,1
@d_mantix,@wise_foolx,Directed,Retweet,7450,,<[2022-03-02T10:13:55.824Z]>,1
@its9900,@funny__blog1,Directed,Mention,7451,,<[2022-03-02T10:13:56.042Z]>,1
@its9900,@funny__blog1,Directed,Retweet,7452,,<[2022-03-02T10:13:56.042Z]>,1
